"StudyID","Author_Year","Location","Crop types","Cropping system","Organic fertilizer type","Substitution_ratio(%)","Year","Equal N?","P/K balanced?","Duration(years)","Soil depth(cm)","Indicator","Unit","Mean_E","SD_E","n_E","Mean_C","SD_C","n_C","DataType","Converted?","Notes","Mean_E_std","Mean_C_std","SD_E_std","SD_C_std","Depth_raw_norm","Depth_low_cm","Depth_high_cm","Depth_mid_cm","Soil_layer","Soil_layer_export"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",30,"years_mean","Yes","No",11,"0-20","TN","g·kg-1",1.51,NA,3,1.35,NA,3,"Mean±SD","No","SD缺失",1.51,1.35,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",60,"years_mean","Yes","No",11,"0-20","TN","g·kg-1",1.52,NA,3,1.35,NA,3,"Mean±SD","No","SD缺失",1.52,1.35,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",100,"years_mean","Yes","No",11,"0-20","TN","g·kg-1",1.96,NA,3,1.35,NA,3,"Mean±SD","No","SD缺失",1.96,1.35,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",30,"years_mean","Yes","No",11,"0-20","TN","g·kg-1",1.88,NA,3,1.35,NA,3,"Mean±SD","No","SD缺失",1.88,1.35,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",60,"years_mean","Yes","No",11,"0-20","TN","g·kg-1",1.68,NA,3,1.35,NA,3,"Mean±SD","No","SD缺失",1.68,1.35,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",30,"years_mean","Yes","No",11,"0-20","pH","1",5.67,NA,3,5.44,NA,3,"Mean±SD","No","SD缺失",5.67,5.44,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",60,"years_mean","Yes","No",11,"0-20","pH","1",6.32,NA,3,5.44,NA,3,"Mean±SD","No","SD缺失",6.32,5.44,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",100,"years_mean","Yes","No",11,"0-20","pH","1",7.42,NA,3,5.44,NA,3,"Mean±SD","No","SD缺失",7.42,5.44,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",30,"years_mean","Yes","No",11,"0-20","pH","1",4.86,NA,3,5.44,NA,3,"Mean±SD","No","SD缺失",4.86,5.44,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",60,"years_mean","Yes","No",11,"0-20","pH","1",5.54,NA,3,5.44,NA,3,"Mean±SD","No","SD缺失",5.54,5.44,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",30,"years_mean","Yes","No",11,"0-20","AN","mg·kg-1",128.83,NA,3,109.58,NA,3,"Mean±SD","No","SD缺失",128.83,109.58,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",60,"years_mean","Yes","No",11,"0-20","AN","mg·kg-1",128.72,NA,3,109.58,NA,3,"Mean±SD","No","SD缺失",128.72,109.58,NA,NA,"0-20",0,20,10,"0-10","0_10"
