"StudyID","Author_Year","Location","Crop types","Cropping system","Organic fertilizer type","Substitution_ratio(%)","Year","Equal N?","P/K balanced?","Duration(years)","Soil depth(cm)","Indicator","Unit","Mean_E","SD_E","n_E","Mean_C","SD_C","n_C","DataType","Converted?","Notes","Mean_E_std","Mean_C_std","SD_E_std","SD_C_std","Depth_raw_norm","Depth_low_cm","Depth_high_cm","Depth_mid_cm","Soil_layer","Soil_layer_export","SD_E_imp","SD_C_imp","SD_E_src","SD_C_src","v_lnRR_check"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",30,"years_mean","Yes","No",11,"0-20","SOC","g·kg-1",14.57,NA,3,11.39,NA,3,"Mean±SD","No","SD缺失",14.57,11.39,NA,NA,"0-20",0,20,10,"0-10","0_10",0.8785698509412149,0.6868161017309841,"from_cv_avg_all","from_cv_avg_all",0.002424053659281681
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",60,"years_mean","Yes","No",11,"0-20","SOC","g·kg-1",14.24,NA,3,11.39,NA,3,"Mean±SD","No","SD缺失",14.24,11.39,NA,NA,"0-20",0,20,10,"0-10","0_10",0.8586708769665683,0.6868161017309841,"from_cv_avg_all","from_cv_avg_all",0.002424053659281681
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",100,"years_mean","Yes","No",11,"0-20","SOC","g·kg-1",17.43,NA,3,11.39,NA,3,"Mean±SD","No","SD缺失",17.43,11.39,NA,NA,"0-20",0,20,10,"0-10","0_10",1.051027625388152,0.6868161017309841,"from_cv_avg_all","from_cv_avg_all",0.002424053659281681
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",30,"years_mean","Yes","No",11,"0-20","SOC","g·kg-1",17,NA,3,11.39,NA,3,"Mean±SD","No","SD缺失",17,11.39,NA,NA,"0-20",0,20,10,"0-10","0_10",1.0250986592999762,0.6868161017309841,"from_cv_avg_all","from_cv_avg_all",0.002424053659281681
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",60,"years_mean","Yes","No",11,"0-20","SOC","g·kg-1",15.19,NA,3,11.39,NA,3,"Mean±SD","No","SD缺失",15.19,11.39,NA,NA,"0-20",0,20,10,"0-10","0_10",0.9159558020450963,0.6868161017309841,"from_cv_avg_all","from_cv_avg_all",0.002424053659281681
2,"徐春燕_2025","河南新乡","小麦、玉米","轮作","商品有机肥",20,"2021-2022","Yes","Yes",2,"0-20","SOC","g·kg-1",7.99,0.79,4,5.22,1.01,4,"Mean±value","No","±Value, tpyes not specified, assuming SD",7.99,5.22,0.79,1.01,"0-20",0,20,10,"0-10","0_10",0.79,1.01,"as_is","as_is",0.011803261929414294
2,"徐春燕_2025","河南新乡","小麦、玉米","轮作","商品有机肥",40,"2021-2022","Yes","Yes",2,"0-20","SOC","g·kg-1",7.48,0.24,4,5.22,1.01,4,"Mean±value","No","±Value, tpyes not specified, assuming SD",7.48,5.22,0.24,1.01,"0-20",0,20,10,"0-10","0_10",0.24,1.01,"as_is","as_is",0.00961663594531334
2,"徐春燕_2025","河南新乡","小麦、玉米","轮作","商品有机肥",20,"2022","Yes","Yes",2,"0-20","SOC","g·kg-1",7.76,0.42,4,6.22,0.93,4,"Mean±value","No","±Value, tpyes not specified, assuming SD",7.76,6.22,0.42,0.93,"0-20",0,20,10,"0-10","0_10",0.42,0.93,"as_is","as_is",0.006321228555835924
2,"徐春燕_2025","河南新乡","小麦、玉米","轮作","商品有机肥",40,"2022","Yes","Yes",2,"0-20","SOC","g·kg-1",7.58,0.02,4,6.22,0.93,4,"Mean±value","No","±Value, tpyes not specified, assuming SD",7.58,6.22,0.02,0.93,"0-20",0,20,10,"0-10","0_10",0.02,0.93,"as_is","as_is",0.0055906249736764595
2,"徐春燕_2025","河南新乡","小麦、玉米","轮作","商品有机肥",20,"2022-2023","Yes","Yes",2,"0-20","SOC","g·kg-1",10.39,0.73,4,8.18,0.56,4,"Mean±value","No","±Value, tpyes not specified, assuming SD",10.39,8.18,0.73,0.56,"0-20",0,20,10,"0-10","0_10",0.73,0.56,"as_is","as_is",0.0024057933495734247
2,"徐春燕_2025","河南新乡","小麦、玉米","轮作","商品有机肥",40,"2022-2023","Yes","Yes",2,"0-20","SOC","g·kg-1",10.04,0.77,4,8.18,0.56,4,"Mean±value","No","±Value, tpyes not specified, assuming SD",10.04,8.18,0.77,0.56,"0-20",0,20,10,"0-10","0_10",0.77,0.56,"as_is","as_is",0.0026421439535910924
3,"徐洪胜_2024","江苏盐城","水稻","单作","畜禽粪肥",20,"years_mean","Yes","Yes",1,"0-20","SOC","g·kg-1",15.97,NA,3,15.66,NA,3,"Mean±value","No","SD缺失",15.97,15.66,NA,NA,"0-20",0,20,10,"0-10","0_10",0.9629897405306247,0.9442967649786839,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816803
3,"徐洪胜_2024","江苏盐城","水稻","单作","畜禽粪肥",30,"years_mean","Yes","Yes",1,"0-20","SOC","g·kg-1",16.75,NA,3,15.66,NA,3,"Mean±value","No","SD缺失",16.75,15.66,NA,NA,"0-20",0,20,10,"0-10","0_10",1.010023679016153,0.9442967649786839,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816803
3,"徐洪胜_2024","江苏盐城","水稻","单作","畜禽粪肥",40,"years_mean","Yes","Yes",1,"0-20","SOC","g·kg-1",16.86,NA,3,15.66,NA,3,"Mean±value","No","SD缺失",16.86,15.66,NA,NA,"0-20",0,20,10,"0-10","0_10",1.0166566703410351,0.9442967649786839,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816803
3,"徐洪胜_2024","江苏盐城","水稻","单作","畜禽粪肥",50,"years_mean","Yes","Yes",1,"0-20","SOC","g·kg-1",17.58,NA,3,15.66,NA,3,"Mean±value","No","SD缺失",17.58,15.66,NA,NA,"0-20",0,20,10,"0-10","0_10",1.0600726135584457,0.9442967649786839,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816803
4,"高鹏_2024","湖南长沙","水稻","单作","商品有机肥",15,"years_mean","Yes","Yes",1,"0-20","SOC","g·kg-1",27.14,2.09,3,27.14,0.9,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",27.14,27.14,2.09,0.9,"0-20",0,20,10,"0-10","0_10",2.09,0.9,"as_is","as_is",0.0023433086299611515
4,"高鹏_2024","湖南长沙","水稻","单作","商品有机肥",30,"years_mean","Yes","Yes",1,"0-20","SOC","g·kg-1",30.55,2.41,3,27.14,0.9,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",30.55,27.14,2.41,0.9,"0-20",0,20,10,"0-10","0_10",2.41,0.9,"as_is","as_is",0.00244094911827325
4,"高鹏_2024","湖南长沙","水稻","单作","商品有机肥",60,"years_mean","Yes","Yes",1,"0-20","SOC","g·kg-1",33.12,1.03,3,27.14,0.9,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",33.12,27.14,1.03,0.9,"0-20",0,20,10,"0-10","0_10",1.03,0.9,"as_is","as_is",6.889424621862521e-4
5,"张钰钦_2024","湖北钟祥","小麦","单作","商品有机肥",15,"years_mean","Yes","Yes",1,"0-20","SOC","g·kg-1",12.24,NA,3,10.92,NA,3,"Mean±value","No","SD缺失",12.24,10.92,NA,NA,"0-20",0,20,10,"0-10","0_10",0.7380710346959828,0.6584751387973964,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816803
5,"张钰钦_2024","湖北钟祥","小麦","单作","商品有机肥",30,"years_mean","Yes","Yes",1,"0-20","SOC","g·kg-1",13.51,NA,3,10.92,NA,3,"Mean±value","No","SD缺失",13.51,10.92,NA,NA,"0-20",0,20,10,"0-10","0_10",0.8146519345378046,0.6584751387973964,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816803
6,"何苏南_2024","江苏盐城","玉米","单作","商品有机肥",25,"years_mean","Yes","Yes",1,"0-20","SOC","g·kg-1",7.98,NA,3,7.82,NA,3,"Mean±value","No","SD缺失",7.98,7.82,NA,NA,"0-20",0,20,10,"0-10","0_10",0.48119337065963586,0.47154538327798906,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816807
6,"何苏南_2024","江苏盐城","玉米","单作","商品有机肥",50,"years_mean","Yes","Yes",1,"0-20","SOC","g·kg-1",8.26,NA,3,7.82,NA,3,"Mean±value","No","SD缺失",8.26,7.82,NA,NA,"0-20",0,20,10,"0-10","0_10",0.4980773485775178,0.47154538327798906,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816803
6,"何苏南_2024","江苏盐城","玉米","单作","商品有机肥",75,"years_mean","Yes","Yes",1,"0-20","SOC","g·kg-1",8.38,NA,3,7.82,NA,3,"Mean±value","No","SD缺失",8.38,7.82,NA,NA,"0-20",0,20,10,"0-10","0_10",0.505313339113753,0.47154538327798906,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816803
