"StudyID","Author_Year","Indicator","Soil_layer","Soil_layer_export","Mean_E_std","Mean_C_std","n_E","n_C","SD_E_imp","SD_C_imp","yi","vi","sei","wi"
1,"李雨欣_2025","SOC","0-10","0_10",14.57,11.39,3,3,0.8785698509412149,0.6868161017309841,0.2462288427480227,0.002424053659281681,0.04923467943717803,412.53212203905156
1,"李雨欣_2025","SOC","0-10","0_10",14.24,11.39,3,3,0.8586708769665683,0.6868161017309841,0.22331912852473884,0.002424053659281681,0.04923467943717803,412.53212203905156
1,"李雨欣_2025","SOC","0-10","0_10",17.43,11.39,3,3,1.051027625388152,0.6868161017309841,0.42545708207283867,0.002424053659281681,0.04923467943717803,412.53212203905156
1,"李雨欣_2025","SOC","0-10","0_10",17,11.39,3,3,1.0250986592999762,0.6868161017309841,0.40047756659712525,0.002424053659281681,0.04923467943717803,412.53212203905156
1,"李雨欣_2025","SOC","0-10","0_10",15.19,11.39,3,3,0.9159558020450964,0.6868161017309841,0.2879015391485906,0.002424053659281681,0.04923467943717803,412.53212203905156
2,"徐春燕_2025","SOC","0-10","0_10",7.99,5.22,4,4,0.79,1.01,0.425693357883636,0.011803261929414294,0.10864281812165172,84.72234251685562
2,"徐春燕_2025","SOC","0-10","0_10",7.48,5.22,4,4,0.24,1.01,0.3597353900918386,0.00961663594531334,0.09806444791724134,103.98646737660368
2,"徐春燕_2025","SOC","0-10","0_10",7.76,6.22,4,4,0.42,0.93,0.2212124274440393,0.006321228555835924,0.0795061542010172,158.1970958915532
2,"徐春燕_2025","SOC","0-10","0_10",7.58,6.22,4,4,0.02,0.93,0.19774329290319223,0.0055906249736764595,0.07477048196766194,178.87087842745933
2,"徐春燕_2025","SOC","0-10","0_10",10.39,8.18,4,4,0.73,0.56,0.23915165449648046,0.0024057933495734247,0.04904888734286869,415.6632988354181
2,"徐春燕_2025","SOC","0-10","0_10",10.04,8.18,4,4,0.77,0.56,0.20488496364892744,0.0026421439535910924,0.05140178940067255,378.4805133879407
3,"徐洪胜_2024","SOC","0-10","0_10",15.97,15.66,3,3,0.9629897405306248,0.944296764978684,0.01960227166426404,0.002424053659281681,0.04923467943717803,412.53212203905156
3,"徐洪胜_2024","SOC","0-10","0_10",16.75,15.66,3,3,1.010023679016153,0.944296764978684,0.06728856770841839,0.002424053659281681,0.04923467943717803,412.53212203905156
3,"徐洪胜_2024","SOC","0-10","0_10",16.86,15.66,3,3,1.0166566703410351,0.944296764978684,0.07383426201105234,0.002424053659281681,0.04923467943717803,412.53212203905156
3,"徐洪胜_2024","SOC","0-10","0_10",17.58,15.66,3,3,1.0600726135584455,0.944296764978684,0.11565220169437383,0.0024240536592816803,0.04923467943717802,412.5321220390517
4,"高鹏_2024","SOC","0-10","0_10",27.14,27.14,3,3,2.09,0.9,0,0.0023433086299611515,0.04840773316280315,426.74703076418
4,"高鹏_2024","SOC","0-10","0_10",30.55,27.14,3,3,2.41,0.9,0.11835603121088124,0.00244094911827325,0.049405962375742164,409.67670834015956
4,"高鹏_2024","SOC","0-10","0_10",33.12,27.14,3,3,1.03,0.9,0.19912867511033575,6.889424621862521e-4,0.026247713465866927,1451.5000234223553
5,"张钰钦_2024","SOC","0-10","0_10",12.24,10.92,3,3,0.7380710346959828,0.6584751387973964,0.11411330676742105,0.0024240536592816803,0.04923467943717802,412.5321220390517
5,"张钰钦_2024","SOC","0-10","0_10",13.51,10.92,3,3,0.8146519345378046,0.6584751387973964,0.21283418165534854,0.0024240536592816803,0.04923467943717802,412.5321220390517
6,"何苏南_2024","SOC","0-10","0_10",7.98,7.82,3,3,0.48119337065963586,0.47154538327798906,0.020253856904497596,0.0024240536592816807,0.049234679437178026,412.5321220390516
6,"何苏南_2024","SOC","0-10","0_10",8.26,7.82,3,3,0.4980773485775178,0.47154538327798906,0.05474003297566685,0.0024240536592816803,0.04923467943717802,412.5321220390517
6,"何苏南_2024","SOC","0-10","0_10",8.38,7.82,3,3,0.505313339113753,0.47154538327798906,0.06916335993677207,0.0024240536592816803,0.04923467943717802,412.5321220390517
6,"何苏南_2024","SOC","0-10","0_10",7.47,7.82,3,3,0.4504404108806366,0.47154538327798906,-0.045789555412493826,0.0024240536592816807,0.049234679437178026,412.5321220390516
8,"王燕_2023","SOC","0-10","0_10",10.986078886310906,10.27262180974478,3,3,0.6624596904306521,0.6194382849802982,0.06714663596319,0.0024240536592816807,0.049234679437178026,412.5321220390516
8,"王燕_2023","SOC","0-10","0_10",11.27030162412993,10.359628770301624,3,3,0.6795982991059961,0.6246847978400973,0.08425468794099569,0.0024240536592816803,0.04923467943717802,412.5321220390517
8,"王燕_2023","SOC","0-10","0_10",12.546403712296984,10.27262180974478,3,3,0.7565471543830519,0.6194382849802982,0.1999517881702251,0.0024240536592816803,0.04923467943717802,412.5321220390517
8,"王燕_2023","SOC","0-10","0_10",13.18445475638051,10.359628770301624,3,3,0.7950215820215797,0.6246847978400973,0.2411220624160989,0.0024240536592816803,0.04923467943717802,412.5321220390517
9,"余守保_2023","SOC","0-10","0_10",14.605568445475638,14.147331786542924,3,3,0.8807146253983008,0.8530829910033582,0.0318768163883722,0.0024240536592816807,0.049234679437178026,412.5321220390516
9,"余守保_2023","SOC","0-10","0_10",14.70417633410673,14.147331786542924,3,3,0.8866606733060733,0.8530829910033582,0.03860551780936338,0.0024240536592816807,0.049234679437178026,412.5321220390516
9,"余守保_2023","SOC","0-10","0_10",15.127610208816703,14.147331786542924,3,3,0.9121937025570962,0.8530829910033582,0.06699552483062303,0.0024240536592816807,0.049234679437178026,412.5321220390516
