"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CAYGCHBP","journalArticle","2025","张小娟; 杨航; 宋建超; 杨安; 马凯凯; 鱼小军","化肥减施对三江源区燕麦生产性能和土壤养分的影响","中国草地学报","","1673-5021","10.16742/j.zgcdxb.20240216","https://link.cnki.net/doi/10.16742/j.zgcdxb.20240216","探究三江源区燕麦人工草地有机肥替代化肥方案，可为该区域燕麦栽培提供研究资料。在三江源区的玛沁县通过建植青海444燕麦人工草地并进行单施化肥（CK）、化肥减施10%+10%有机肥（T1）、化肥减施20%+20%有机肥（T2）、化肥减施30%+30%有机肥（T3）、化肥减施40%+40%有机肥（T4）、化肥减施50%+50%有机肥（T5）、单施有机肥（T6）等处理，研究了不同施肥处理下燕麦生产性能、营养品质和土壤养分状况。结果表明，T1处理可以增加燕麦株高、叶面积，提高燕麦草产量，且T1、T2、T3处理与常规施肥下的草产量差异不显著。有机肥配施可以提高燕麦可溶性糖含量，T6处理较CK显著增加62.53%，并且T6处理下中性洗涤纤维、酸性洗涤纤维含量较CK显著降低7.96%和10.23%;T6处理下0～15 cm土层土壤有机质含量较CK显著增加26.51%,15～30 cm土层较CK显著增加24.99%;T1、T2、T3处理提高了0～15 cm土层土壤全磷含量，分别较CK增加了2.78%、5.36%和5.09%。综上所述，T1、T2、T3处理与单施化肥（CK）综合评价结果较接近，不但可以保持较高的生产力，还可提高饲草品质，改善土壤养分状况，是青海三江源地区燕麦种植适宜的减施化肥方案。","2025","2025-08-27 10:43:01","2025-08-27 10:43:13","","54-64","","1","47","","中国草地学报","","","","","","","","zh","","","","","","15-1344/S","","","","","产量; 化肥减施; 农艺性状; 品质; 土壤养分; 燕麦","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VRA4DUWF","journalArticle","","王海燕; 毕如田; 聂萌恩; 霍晓兰; 于志勇; 刘平","氮素有机替代对高粱产量和土壤性质的影响","作物杂志","","1001-7283","","https://link.cnki.net/urlid/11.1808.S.20250113.1318.005","通过研究有机肥替代化肥比例对高粱产量、土壤理化特性和土壤酶活性的影响，提出适宜的有机肥替代比例，为高粱化肥减量提供理论依据。以红糯16号高粱为供试材料，等养分投入下，设置常规施肥（HF）以及氮素有机肥替代25%（NF25）、50%（NF50）、75%（NF75）、100%（NF100）共5个处理，同时设置不施肥（CK）处理。结果表明，以CK作参照，随着有机肥替代比例增加土壤有机质、全氮，碱解氮、速效磷和速效钾含量均有不同程度的提升；有机肥替代化肥处理的土壤碱性磷酸酶、脲酶和蔗糖酶活性较CK平均显著提高40.8%、13.6%和61.6%。高粱产量与不同牛粪纯氮量间关系能够较好拟合一元二次方程，计算出理论上施用牛粪纯氮量为92.5 kg/hm2时高粱产量最高。本试验条件下，有机替代50%（NF50）处理不仅有利于改善土壤理化性质和提高土壤酶活性，还能使高粱处于较高产量水平。因此，综合不同有机替代下高粱产量和土壤肥力、土壤酶活性响应可知，50%氮素有机替代比例为适宜的有机肥施用量。","","2025-08-27 10:43:01","2025-08-27 10:43:14","","1-7","","","","","作物杂志","","","","","","","","zh","","","","","","11-1808/S","","","","","氮素; 高粱产量; 土壤性质; 有机替代比例","/unread; ⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G2CTWAI6","journalArticle","2024","王周; 李强; 彭畅; 姚颜莹; 朱天润; 焦云飞; 张秀芝; 高纪超; 高洪军","有机肥氮替代50%化肥氮有效改善吉林省中部地区黑土团聚体性状","植物营养与肥料学报","","1008-505X","","https://kns.cnki.net/kcms2/article/abstract?v=JEPDQvKdoqLU-Sc5Gjv2_dGQVXW__peFAr9rYfHUjh6NDMeCyU79Tz6SWU62mzTMTDss0IjE3sy9q3zOKKNDRJi1IIHmhKcdUkPWpbFtcvPV6iIuYOdXGB3QQjwcHu6nJXqRWETxen-t37Uh7bdpubN7wHa9Fy0zVU9CMtB5TIjy7oI8QRflVsmm6Bn47Oo1&uniplatform=NZKPT&language=CHS","【目的】有机肥替代化肥可以改善黑土团聚体稳定性和土壤结构。基于长期定位试验，研究等氮量下不同比例有机肥氮替代化肥氮的效果，为吉林省黑土区土壤高效培肥提供科学依据。【方法】位于吉林省公主岭市的8年田间定位试验包括不施肥（CK）、单施化肥（M0）、25%有机肥氮替代化肥氮（M25）、50%有机肥氮替代化肥氮（M50）和100%有机肥氮替代化肥氮（M100） 5个处理。在每个处理分别采集0—20和20—40 cm土层原状土样，采用干筛法和湿筛法，研究等氮量下有机肥替代化肥不同比例下土壤团聚体粒级分布特征、稳定性及碳氮含量、碳氮比。【结果】干筛条件下，相比CK处理，M0处理降低了0—20 cm土层大团聚体比例（R>0.25）和团聚体稳定性。相比M0处理，M25、M50和M100处理增加了2～10 mm粒级比例及R>0.25，降低了0.25～2和<0.25 mm粒级比例；增加了团聚体稳定性。在20—40 cm土层，各处理7～10 mm团聚体比例较0—20 cm土层降低了3.56%～9.92%,5～0.5 mm各粒级比例有所增加，而5～7和<0.5 mm团聚体的比例基本持平。与M0处理相比，M25和M50处理降低了R>0.25,M100处理有所提高。湿筛条件下，相比CK处理，M0处理0—20 cm土层R>0.25增加了0.13%，平均重量直径（MWD）、几何平均直径（GMD）和分形维数（D）均有所降低，水稳性团聚体有机碳含量下降了3.4%，水稳性团聚体碳氮比（C/N）下降了21.29%。相比M0处理，M25、M50和M100处理R>0.25没有显著差异，但C/N分别增加了6.85%、33.02%和34.97%;M25处理MWD和GMD有所降低，而M50和M100处理MWD和GMD有所提高；M25和M50处理团聚体有机碳含量分别增加了9.18%和16.08%,M100却降低了5.36%。所有施肥处理0—20 cm土层土壤水稳性团聚体有机碳和全氮含量明显高于20—40 cm土层，>2、1～2和0.5～1 mm团聚体有机碳和全氮含量最高，0.053～0.25 mm团聚体有机碳和全氮含量最低。20—40 cm土层，相比CK处理，M0处理R>0.25下降约10个百分点，而0.053～0.25和<0.053 mm团聚体均增加约2个百分点。相比M0处理，3个有机替代处理R>0.25增加8.29～13.25个百分点，而...","2024","2025-08-27 10:43:01","2025-08-27 10:43:15","","2247-2257","","12","30","","植物营养与肥料学报","","","","","","","","zh","","","","","","11-3996/S","","","","","黑土; 全氮; 碳氮比; 团聚体分布; 团聚体稳定性; 有机肥氮替代化肥氮; 有机碳","/unread; ⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YABDVCXI","journalArticle","","吴能祥; 王萍; 刘亚龙; 汪景宽","土壤有机碳对化肥减施与有机肥替代的响应特征及影响因素","土壤学报","","0564-3929","","https://link.cnki.net/urlid/32.1119.P.20241210.1330.004","深入探讨化肥减施和有机肥替代对土壤有机碳的影响，对于理解农业土壤有机碳库对施肥的响应过程，并对早日实现农业减肥固碳具有重要意义。运用Meta整合分析法及随机森林模型分析化肥减施和有机肥替代下土壤有机碳含量的变化特征，系统研究了各种因子对土壤有机碳的影响程度。结果表明，化肥减施下土壤有机碳总体下降2.61%，地处温带地区（年均气温<10 ℃、年均降水<1 000 mm）有机碳损失较大，但随海拔高度变化，有机碳无显著损失。初始有机碳含量高的土壤有利于有机碳的保持。随土壤初始pH和有效磷含量的增加，土壤有机碳的损失总体呈增强趋势，有机碳含量最高可下降6.91%。而初始速效钾的影响却正好相反。化肥减施下农田和果园土壤有机碳下降幅度相近，菜地有机碳变化不显著。有机肥替代下土壤有机碳显著增加14.39%，地处中低海拔和年均降水<600 mm的亚热带地区更有利于有机碳的积累。除低碱解氮水平外(50 mg·kg-1)，不同水平初始有机碳、全氮和碱解氮含量土壤有机碳未表现出显著差异。随初始pH和有效磷含量的提高，有机碳的累积效应增强，而初始速效钾的影响却正好相反。有机肥替代下以水旱轮作和菜地利用最有利于有机碳的积累。pH和碱解氮分别是影响减施化肥和有机肥替代土壤有机碳的最重要因子。","","2025-08-27 10:43:01","2025-08-27 10:43:15","","1-11","","","","","土壤学报","","","","","","","","zh","","","","","","32-1119/P","","","","","减施化肥; 气候条件; 土地利用; 土壤初始性质; 土壤有机碳; 有机肥替代","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SQJ5ANKQ","journalArticle","2025","朱君康; 叶桂萍; 丁维新; 樊剑波; 吴冰雪; 贺纪正; 林永新","有机替代和团聚化对红壤微型动物群落的影响","水土保持学报","","1009-2242","10.13870/j.cnki.stbcxb.2025.01.004","https://link.cnki.net/doi/10.13870/j.cnki.stbcxb.2025.01.004","[目的]红壤是我国南方典型的地带性土壤，有机替代是改善红壤理化性质的重要途径。为探究不同有机替代方式和团聚化过程对红壤微型动物群落的影响。[方法]采集单施无机氮磷钾(NPK)肥(I)、NPK+花生秸秆(IPS)、NPK+水稻秸秆(IRS)、NPK+萝卜菜(IR)和NPK+猪粪(IPM)5种长期施肥处理土壤，对土壤进行团聚体分级，利用高通量测序测定团聚体中微型动物群落。[结果]与I相比，IPM和IRS显著提高土壤有机质质量分数，而IPS和IR的影响相对较小。IPM还显著提高土壤pH、总氮和速效磷质量分数。有机替代对土壤微型动物多样性无显著影响，但显著影响其群落结构。线虫是旱地红壤质量分数最丰富的土壤微型动物，在I处理中的相对丰度为93.0%,IPM和IRS分别显著降低其相对丰度至62.2%和70.0%,而IPS和IR的影响较小。团聚体粒径显著影响土壤微型动物Shannon和Chao1指数，53～250、<53μm团聚体的多样性指数显著高于250～2 000、>2 000μm团聚体，表明粒径越小越有利于提高土壤微型动物多样性。团聚体粒径同样显著影响土壤微型动物群落结构，但其影响程度弱于有机替代。[结论]有机替代和团聚体粒径均可显著影响土壤微型动物群落，猪粪和水稻秸秆的影响效果大于花生秸秆和萝卜菜，而团聚化过程降低红壤微型动物多样性。","2025","2025-08-27 10:43:01","2025-08-27 10:43:16","","113-119","","1","39","","水土保持学报","","","","","","","","zh","","","","","","61-1362/TV","","","","","酸性土壤; 土壤动物; 团聚体; 有机肥","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEIWSU5M","journalArticle","2024","代依涵; 黄兴成; 刘彦伶; 陈卓; 陈兴良; 张雅蓉; 杨叶华; 朱华清; 熊涵; 李渝; 蒋太明","有机肥氮替代化肥氮对茶叶产量和品质及土壤肥力的影响","中国土壤与肥料","","1673-6257","","https://kns.cnki.net/kcms2/article/abstract?v=JEPDQvKdoqJmyGc8YCnHTv6ilkEamhRudsw-VSZxEUTnP3fHRGNP3pRLIF4aktCt8GoELhk55qu3tO_-K3-eJr1SZ5yigJ8G_Q-5I35s3AAOT98PXf44x-rDcd30IjzRRN9BEFEvPTbEWyb4gZ_Am6XvH5cSxYx9b5tAJcoa9zflOkVO4VMSmFwoPXFhZAhf&uniplatform=NZKPT&language=CHS","为综合评价有机肥氮替代化肥氮对茶叶产量、品质及土壤肥力的影响，指导茶园科学施用有机肥。在贵州省湄潭县开展田间试验，以单施化肥（ON0）为对照，设置有机肥氮替代20%(ON20)、40%(ON40)、60%(ON60)、80%(ON80)和100%(ON100)的化学氮肥，分析各处理茶叶产量、品质及土壤肥力的变化。结果表明，随有机肥氮替代比例的增加，茶叶产量呈先增加后降低的趋势，其中以ON20处理最高，较ON0处理增产21.53%。有机肥氮替代化肥氮显著提升了茶叶游离氨基酸总量，茶叶酚氨比降低，茶叶品质提升。与单施化肥比较，有机肥氮替代化肥氮能够提升土壤pH和有机质含量，土壤铵态氮和微生物量氮含量有所降低。与单施化肥处理比较，有机肥氮替代20%化肥氮条件下，茶园土壤硝态氮、碱解氮和可溶性总氮含量分别提升21.35%、3.13%和10.73%。因此，有机肥氮替代20%化肥氮处理，茶叶产量和品质均提升，土壤pH、有机质和氮含量也得到提高，是较优的有机肥配施模式。","2024","2025-08-27 10:43:01","2025-08-27 10:43:18","","130-135","","11","","","中国土壤与肥料","","","","","","","","zh","","","","","","11-5498/S","","","","","茶叶; 产量; 品质; 有机肥替代化肥","/unread; ⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NM5XJND6","journalArticle","2024","徐洪胜; 王桂良","有机肥替代部分化肥对水稻产量及土壤有机碳组分的影响","河南农业","","1006-950X","10.15904/j.cnki.hnny.2024.20.002","https://link.cnki.net/doi/10.15904/j.cnki.hnny.2024.20.002","<正>土壤有机碳是农田土壤重要的组成部分，可分为活性有机碳和稳定性有机碳。土壤活性有机碳稳定性较差，易被土壤微生物分解利用，可作为反映土壤质量改变的指标。因此，了解土壤有机碳组分对探讨不同农田管理措施对于提高土壤质量具有重要意义。施用有机肥是支撑“两减”行动的有效措施，相关研究表明，有机肥替代部分化肥，可以在保证作物产量的同时，减少施肥过量导致的环境污染问题。然而，有机肥替代部分化肥如何改变土壤有机碳组分相关的研究较少。因此，通过研究有机肥替代部分化肥对水稻产量及土壤有机碳组分的影响，探讨适宜的有机肥替代比例，为当地水稻有机肥替代化肥减肥增效提供数据支撑和科学依据。","2024","2025-08-27 10:43:01","2025-08-27 10:43:19","","54-56","","20","","","河南农业","","","","","","","","zh","","","","","","41-1171/S","","","","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SHBKQE2Z","journalArticle","2024","经福林; 冯学娟; 吴刃; 邓华; 刘志强; 毛丽君; 徐娟; 陈士伟; 张曼其","生物有机配方肥替代化肥对剑麻生长和土壤质量的影响","中国麻业科学","","1671-3532","","https://link.cnki.net/urlid/43.1467.S.20240930.1722.002","为了深入探究生物有机配方肥在剑麻种植中作为化肥替代品的增产增效潜力，在同一块地上设计3个不同的施肥处理试验：施用常规化肥，尿素450 kg/hm2、磷肥1500 kg/hm2、钾肥450 kg/hm2和有机肥料7500 kg/hm2（CK）;施用1/2常规化肥与剑麻生物有机配方肥1875 kg/hm2（T1）;施用剑麻生物有机配方肥3750 kg/hm2（T2）。结果表明，与CK相比，T2处理下剑麻地土壤的有效磷和速效钾含量分别降低了31.21 mg/kg和95.80 mg/kg,而碱解氮和交换性钙含量分别显著升高了21.49 mg/kg和63.42 mg/kg。此外，T2处理显著提升了土壤微生物量碳、氮含量，分别是CK处理的17.98倍和2.06倍。同时，土壤酸性磷酸酶活性显著降低，而蔗糖酶活性、脲酶活性和过氧化氢酶活性则显著提高，T1、T2处理分别达到了CK处理的1.05倍、1.33倍和1.20倍，4.39倍、1.38倍和1.22倍。另外，T2处理还显著促进了剑麻对钙的吸收利用，剑麻叶片全钙含量和叶片纤维含量在2021年和2022年分别比CK处理高出16.67%、6.91%和22.71%、9.51%。此外，T2处理每年可节省成本1837.50元/hm2,两年合计增加收入2473.50元/hm2。因此，与常规化肥（CK）相比，剑麻生物有机配方肥不仅能够调整土壤养分成分，提升剑麻对钙的吸收及麻片纤维含量，还能显著提高土壤微生物量碳、氮含量及酶活性，实现化肥减量增效。该研究为促进剑麻生产与土壤保护提供了重要的参考依据。","2024","2025-08-27 10:43:01","2025-08-27 10:43:20","","275-283","","5","46","","中国麻业科学","","","","","","","","zh","","","","","","43-1467/S","","","","","剑麻; 生产效益; 生物有机配方肥; 生长; 土壤","/unread; ⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BKWFSJS2","journalArticle","2024","饶中秀; 李龙涛; 黄凤球; 张娜; 孙继民; 杨曾平","秸秆-中药渣-餐厨垃圾腐熟有机肥部分替代氮肥对百合种植土壤性状的影响","土壤通报","","0564-3945","10.19336/j.cnki.trtb.2023081405","https://link.cnki.net/doi/10.19336/j.cnki.trtb.2023081405","【目的】探究废弃物源有机肥替代不同量氮肥对百合种植土壤物理、化学、生物学性状的影响，为改善百合种植土壤养分失衡、性状劣变等问题以及废弃物资源的安全利用提供理论依据。【方法】设置100%化肥（CK）、有机肥替代25%氮素化肥（T1）、有机肥替代50%氮素化肥（T2）、有机肥替代75%氮素化肥（T3）、有机肥氮替代100%氮素化肥（T4）共5个处理，开展田间小区试验，测定土壤基本理化性质（养分含量、水稳性团聚体粒级）以及土壤蛋白酶活性等指标。【结果】在一个种植周年内，百合鳞茎产量随替代量的增加而降低，但T1和T2处理降幅较小且与CK无显著差异，T1处理经济效益在各替代量处理中最高。各处理间土壤pH值无显著差异，CEC和有机质含量呈增加趋势。全量养分中，土壤全氮、全磷在T4中增幅显著，其他处理间无显著差异，土壤全钾含量在各处理间均无显著变化。速效养分中，速效钾含量随有机肥替代量增加而呈递增趋势，其中T3、T4处理分别较CK升高74.84%和80.31%（P <0.05）。水解性氮含量在各处理间无显著差异，有效磷含量随有机肥替代量增加呈升高趋势，T4较CK增加70.09%（P <0.05）。土壤微生物量氮在有机无机肥配施处理中（T1、T2和T3）略高于100%化肥或100%有机肥氮替代处理。各处理土壤水稳性团聚体分布以<0.25 mm粒径为主（占比52.51%～63.06%），随有机肥替代氮肥量的增加呈降低趋势（降幅9.55%～16.73%），大团聚体占比相应增加。与CK相比，各处理> 0.25 mm水稳性团聚体含量(WSAC0.25)增加16.30%～45.54%，平均重量直径（MWD）和几何平均直径（GMD）分别提高53.62%～74.73%和24.22%～37.30%,KCTP增加46.69%～125.3%（P <0.05）。土壤蛋白酶活性在T1和T2处理中较CK有所提升但不显著，在T3和T4中则分别显著增加39.19%和46.67%。【结论】废弃物源有机肥替代部分氮肥有利于提升百合种植土壤养分有效性，改善土壤物理结构，提升土壤蛋白酶活性。从百合产量及经济效益角度考虑，有机肥替代量在氮肥用量的25%以内为宜。","2024","2025-08-27 10:43:01","2025-08-27 10:43:21","","1273-1281","","5","55","","土壤通报","","","","","","","","zh","","","","","","21-1172/S","","","","","蛋白酶; 水稳性团聚体; 土壤养分; 有机肥","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2435ZLUW","journalArticle","2024","牛天新; 熊伟; 吴新荣","等氮条件下施用不同有机肥对玉米田大型土壤动物种群的影响","安徽农学通报","","1007-7731","10.16377/j.cnki.issn1007-7731.2024.16.001","https://link.cnki.net/doi/10.16377/j.cnki.issn1007-7731.2024.16.001","为从土壤动物角度研究土壤改良和耕地质量提升，探究等氮条件下不同有机肥和化肥配施对玉米田大型土壤动物的影响，试验设定猪粪（处理3）、羊粪（处理4）、菌渣（处理5）、易腐垃圾（处理6）有机肥、化肥（处理2）和空白（处理1）共6个处理，对不同施肥处理不同土层的土壤环境及大型土壤动物的分布情况开展调查，并对其大型土壤动物多样性进行了分析。结果表明，在玉米田土壤中共捕获到膜翅目、蜘蛛目、半翅目和弹尾目等10个类群的大型动物，以膜翅目和蜘蛛目为优势类群。各处理组的Shannon-Wiener多样性指数从高到低依次为处理6、处理3、处理4、处理5、处理2和处理1。其中，易腐垃圾有机肥处理的Shannon-Wiener多样性指数和均匀度指数最高，猪粪有机肥处理次之。4种有机肥处理的Shannon-Wiener多样性指数均比纯化肥和空白处理高，可见有机肥料的施用增加了土壤含水量，提高了有机质及全氮含量，有利于土壤动物群落数量和多样性增加，有利于农业可持续发展。","2024","2025-08-27 10:43:01","2025-08-27 10:43:21","","1-7","","16","30","","安徽农学通报","","","","","","","","zh","","","","","","34-1148/S","","","","","均匀度指数; 土壤大型动物; 优势类群; 有机肥; 玉米田; Shannon-Wiener多样性指数","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
