"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"C2WADUQI","journalArticle","2024","He, Hao; Peng, Mengwen; Hou, Zhenan; Li, Junhua","Unlike chemical fertilizer reduction, organic fertilizer substitution increases soil organic carbon stock and soil fertility in wheat fields","Journal of the Science of Food and Agriculture","","0022-5142","10.1002/jsfa.13167","","BACKGROUNDImprovements in farmland soil organic carbon (SOC) stock enhance crop yield and soil fertility while mitigating climate change. Rational fertilization in agricultural production is crucial for safeguarding SOC stock. In this study, field experiments were conducted with different ratios of chemical fertilizer reduction and organic fertilizer substitution for three consecutive years (2018-2020) to explore their effects and interlinkages on SOC fractions, soil properties and SOC stock.RESULTSThe results showed that organic fertilizer substitution increased SOC and its fractions content, SOC stock (by 3.98-12.98% and 7.15-18.13%) and soil fertility index (by 11.76-49.26% and 33.33-91.47%) compared to conventional fertilization in 2019 and 2020, while chemical fertilizer reduction had the opposite effect. Moreover, soil properties (except total nitrogen to total phosphorus ratio, N/P) and SOC fractions significantly affected SOC stock, with SOC fractions contributing more than soil properties. The high sensitivity of microbial biomass carbon (MBC) and dissolved organic carbon (DOC) can indicate changes in soil carbon pool. Structural equation modeling (SEM) revealed that organic fertilizer substitution increased SOC content and stock by increasing SOC fractions [recalcitrant organic carbon (ROC) and labile organic carbon (LOC) fractions] content and soil fertility.CONCLUSIONSOur study revealed the corresponding mechanisms of the two fertilization modes affecting SOC stock changes. The use of organic fertilizer substitution is recommended to increase SOC stocks and soil fertility in wheat fields. (c) 2023 Society of Chemical Industry.","2024-03-30","2025-08-27 10:53:05","2025-08-27 10:53:12","2023-12-17","2798-2808","","5","104","","J. Sci. Food Agric.","","","","","","","","en","","","","WOS:001117053300001","","","17 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IUZHLCKY","journalArticle","2023","Gao, Huizhou; Xi, Yajing; Wu, Xueping; Pei, Xuexia; Liang, Guopeng; Bai, Ju; Song, Xiaojun; Zhang, Meiling; Liu, Xiaotong; Han, Zixuan; Zhao, Gang; Li, Shengping","Partial substitution of manure reduces nitrous oxide emission with maintained yield in a winter wheat crop","Journal of Environmental Management","","0301-4797","10.1016/j.jenvman.2022.116794","","Conventional fertilization of agricultural soils results in increased N2O emissions. As an alternative, the partial substitution of organic fertilizer may help to regulate N2O emissions. However, studies assessing the effects of partial substitution of organic fertilizer on both N2O emissions and yield stability are currently limited. We conducted a field experiment from 2017 to 2021 with six fertilizer regimes to examine the effects of partial substitution of manure on N2O emissions and yield stability. The tested fertilizer regimes, were CK (no fertilizer), CF (chemical fertilizer alone, N 300 kg ha -1, P2O5 150 kg ha -1, K2O 90 kg ha-1), CF + M (chemical fertilizer + organic manure), CFR (chemical fertilizer reduction, N 225 kg ha -1, P2O5 135 kg ha-1, K2O 75 kg ha-1), CFR + M (chemical fertilizer reduction + organic manure), and organic manure alone (M). Our results indicate that soil N2O emissions are primarily regulated by soil mineral N content in arid and semi-arid regions. Compared with CF, N2O emissions in the CF + M, CFR, CFR + M, and M treatments decreased by 16.8%, 23.9%, 42.0%, and 39.4%, respectively. The highest winter wheat yields were observed in CF, followed by CF + M, CFR, and CFR + M. However, the CFR + M treatment exhibited lower N2O emissions while maintaining high yield, compared with CF. Four consecutive years of yield data from 2017 to 2021 illustrated that a single application of organic fertilizer resulted in poor yield stability and that partial substitution of organic fertilizer resulted in the greatest yield stability. Overall, partial substitution of manure reduced N2O emissions while maintaining yield stability compared with the synthetic fertilizer treatment during the wheat growing season. Therefore, partial substitution of manure can be recommended as an optimal N fertilization regime for alleviating N2O emissions and contributing to food security in arid and semi-arid regions.","2023-01-15","2025-08-27 10:53:05","2025-08-27 10:53:13","2023-01-23","","","","326","","J. Environ. Manage.","","","","","","","","en","","","","WOS:000904564300002","","","24 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AAZWWZ6N","journalArticle","2023","Liu, Ming; Song, Fang; Yin, Zhihao; Chen, Peng; Zhang, Zhongxue; Qi, Zhijuan; Wang, Bai; Zheng, Ennan","Organic fertilizer substitutions maintain maize yield and mitigate ammonia emissions but increase nitrous oxide emissions","Environmental Science and Pollution Research","","0944-1344","10.1007/s11356-023-25666-6","","Organic fertilizer can improve soil structure and enhance the nutrient content in soil and is beneficial to sustainable agricultural development. However, the influence of organic fertilizer substitutions on NH3 and N2O emissions from farmland is unclear. Thus, we set up an organic substitution field experiment in Northeast China. The experiment included six treatments: single application of chemical fertilizers (NPK: 250 kg N ha(-1)); NO10, 10% reduction in chemical nitrogen fertilizers (225 kg N ha(-1)) + chicken manure (25 kg N ha(-1)); NO20, 20% reduction in chemical nitrogen fertilizers (200 kg N ha(-1)) + chicken manure (50 kg N ha(-1)); NO30, 30% reduction in chemical nitrogen fertilizers (175 kg N ha(-1)) + chicken manure (75 kg N ha(-1)); NO40, 40% reduction in chemical nitrogen fertilizers (150 kg N ha(-1)) + chicken manure (100 kg N ha(-1)); and no-nitrogen fertilizer (CK). This experiment investigated the effects of partial substitution of chemical nitrogen fertilizer with organic fertilizer on NH3 and N2O emissions and nitrogen use efficiency in a maize field. The results showed that, compared with chemical N, organic fertilizer mitigated NH3 volatilization but promoted the soil N2O total emissions during the whole growth stage. NH3 cumulative volatilization decreased with the increase in the substitution rate of organic fertilizer. Compared with the NPK treatment, the cumulative volatilization of NH3 in the NO30 and NO40 treatments decreased by 15.24 and 17.92%, respectively. The NO40 treatment had the highest N2O emission in the whole growth stage, and the N2O emission of the NO40 treatment increased by 10.72% compared to the NPK treatment. Moreover, the yield, partial factor productivity (PFP), nitrogen harvest index (NHI), and apparent nitrogen recovery efficiency (NRE) of NO30 treatment were the highest of all treatments, and the yields, PFP, plant N accumulation, grain N accumulation, and the cumulative emissions of NH3 and N2O were similar to N-20 treatment. In conclusion, nitrogen fertilizer use efficiency was enhanced, decreasing environmental pollution from livestock under organic fertilizer substitution conditions. We suggested 20% or 30% substitution rates of organic fertilizer were proper.","2023-04","2025-08-27 10:53:05","2025-08-27 10:53:13","2023-03-22","53115-53127","","18","30","","Environ. Sci. Pollut. Res.","","","","","","","","en","","","","WOS:000941366300006","","","23 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAS5FPRZ","journalArticle","2024","He, Hao; Peng, Mengwen; Hou, Zhenan; Li, Junhua","Organic substitution contrasting direct fertilizer reduction increases wheat productivity, soil quality, microbial diversity and network complexity","Environmental Technology & Innovation","","2352-1864","10.1016/j.eti.2024.103784","","Excessive use of chemical fertilizers negatively impacts crop productivity and farmland ecosystem, impeding sustainable agricultural progress. Consequently, there is an immediate need for a chemical fertilizer reduction strategy that ensures crop productivity and improves soil quality and the ecological environment of farmland. This study implemented a three-year (2018-2020) field experiment with two chemical fertilizer reduction methods (direct fertilizer reduction and organic substitution) to investigate their effects on wheat productivity, soil quality, heavy metal pollution risk and microbial characteristics. The results showed that organic substitution treatments (OF1, OF2 and OF3) improved most wheat plant (nutrient uptake and yield and its components) and soil properties (soil nutrients and carbon and nitrogen fractions), leading to increased crop productivity index (CPI, by 9.18 %-16.39 % and 14.14 %-23.36 %) and soil quality index (SQI, by 84.67 %-138.86 % and 104.11 %-175.91 %) compared to conventional fertilization (CF) and direct fertilizer reduction treatments (RF1, RF2 and RF3) in 2019 and 2020. Additionally, organic substitution enhanced the diversity and network complexity of bacterial community, while raising the soil pollution index (SPI, by 9.30 %-12.84 % and 12.20 %-18.49 %) without causing soil heavy metal pollution. Thus, it is recommended to adopt organic fertilizer substitution as the primary chemical fertilizer reduction strategy for wheat production. This approach will ensure crop yield, and improve soil quality and microbial characteristics, but its long-term application requires monitoring changes in soil heavy metals. Overall, this study provides guidelines for implementing scientific fertilization in agricultural practices, thus contributing to the health and sustainability of farmland ecosystems.","2024-11","2025-08-27 10:53:05","2025-08-27 10:53:14","2024-08-20","","","","36","","Environ. Technol. Innovation","","","","","","","","en","","","","WOS:001290975800001","","","16 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XE5VFGWV","journalArticle","2024","Wu, Gong; Huang, Hai-meng; Jia, Bei-bei; Hu, Lei-lei; Luan, Chong-sheng; Wu, Qi; Wang, Xiao-yu; Li, Xiao-xiao; Che, Zhao; Dong, Zhao-rong; Song, He","Partial organic substitution increases soil quality and crop yields but promotes global warming potential in a wheat-maize rotation system in China","Soil and Tillage Research","","0167-1987","10.1016/j.still.2024.106274","","Excessive application of synthetic fertilizer has resulted in serious soil degradation and significant greenhouse gases (GHGs) fluxes in farmlands. Partial organic substitution for synthetic fertilizer was considered as a possible strategy for sustainable agricultural development, but its potential effects on soil quality, GHGs emissions, and crop productivity remain unclear. A field experiment across 3-year was conducted to evaluate the responses of soil quality, nitrous oxide (N2O), 2 O), carbon dioxide (CO2), 2 ), and methane (CH4) 4 ) emissions, and crop yields to different ratios of organic fertilizer (OF) to synthetic fertilizer (SF). Six treatments were included: non- fertilization (CK); total SF; total OF; 15 %, 30 %, and 45 % organic substitution (LO, MO, and HO). Soil cumulative N2O 2 O emission was decreased with increasing organic substitution ratios, mainly attributing to the reducing soil NH4+ 4 + content. However, organic substitution increased soil CO2 2 and CH4 4 emissions due to the high manure-driven C input, consequently promoting global warming potential (GWP). Meanwhile, soil organic C, total N, P, available P, K, and C-acquisition enzyme activities were increased with organic substitution, resulting the higher soil quality index (SQI) under HO and OF. HO enhanced the annual yield of wheat and maize by 7.2 % and 13.0 % compared with SF and OF, respectively. The positive relationship between crop yield and SQI indicated that the yield-enhancing effect with partial organic substitution was mainly attributed to the improved synchronization in nutrient supply and soil fertility. Overall, partial organic substitution, especially 45 % organic substitution represents a viable strategy to improve soil quality and crop productivity while mitigating N2O 2 O emission in wheat-maize rotation systems. However, organic substitution promoted the GWP through stimulating soil CO2 2 and CH4 4 emissions. Further investigations of optimize fertilization managements are still needed to reduce manure-induced CO2 2 and CH4 4 emissions to achieve higher climate change mitigation.","2024-12","2025-08-27 10:53:05","2025-08-27 10:53:14","2024-09-06","","","","244","","Soil Tillage Res.","","","","","","","","en","","","","WOS:001302907200001","","","15 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NW4A4JBZ","journalArticle","2025","Ren, Lijun; Dong, Lili; Liang, Guopeng; Han, Yanyu; Li, Jiaqi; Fan, Qingfeng; Wei, Dan; Zou, Hongtao; Zhang, Yulong","Microbially mediated mechanisms underlie N2O mitigation by bio-organic fertilizer in greenhouse vegetable production system","Applied Soil Ecology","","0929-1393","10.1016/j.apsoil.2025.106114","","Bio-organic fertilizer substitution for chemical fertilizer is an important action for nature-based solutions to identify optimal management practices at reducing soil N2O emissions. However, the current understanding of the underlying microbial mechanisms in response to bio-organic fertilizer substitution for chemical fertilizer is primitive, particularly in greenhouse vegetable production system. Herein, we present the field experiment that spans five years and encompasses four treatments, including no fertilizer (CK), chemical fertilizer (CF), bio-organic fertilizer (OF), and chemical fertilizer combined with bio-organic fertilizer (COF) in the greenhouse vegetable production system. We aimed to investigate the effects of replacing chemical fertilizer with bio-organic fertilizer on soil N2O emissions and nitrogen-cycling microbial communities. The OF and COF treatments reduced soil N2O emissions by 70.2 % and 32.3 %, respectively, compared with the CF treatment. The substitution of chemical fertilizer with bio-organic fertilizer led to a reduction in residual nitrate and dissolved organic nitrogen levels in the soil. Additionally, it enhanced the abundance of functional genes associated with both soil assimilatory nitrate reduction and dissimilatory nitrate reduction processes. These changes likely facilitated the conversion of nitrate nitrogen to ammonium nitrogen and mitigated soil denitrification. Additionally, bio-organic fertilizer significantly (P < 0.05) decreased the activity of soil-denitrifying microorganisms and increased the abundance of soil nitrogen-fixing genes to reduce N2O emissions. These results indicate the potential of using bio-organic fertilizer instead of chemical fertilizer to reduce reactive nitrogen emissions in greenhouse vegetable production system, which can contribute to the development of environmentally friendly fertilization strategies.","2025-07","2025-08-27 10:53:05","2025-08-27 10:53:15","2025-05-07","","","","211","","Appl. Soil Ecol.","","","","","","","","en","","","","WOS:001477408600001","","","0 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JLMAF5B","journalArticle","2024","Han, Zhengdi; Hou, Huijing; Yao, Xianzi; Qian, Xiang; Zhou, Mingyao","Substituting partial chemical fertilizers with bio-organic fertilizers to reduce greenhouse gas emissions in water-saving irrigated rice fields","Agronomy-basel","","2073-4395","10.3390/agronomy14030544","","Conventional water and fertilizer management practices have led to elevated greenhouse gas emissions from rice fields and decreased the efficiency of water and fertilizer utilization in agricultural land. The implementation of water-saving irrigation and the substitution of chemical fertilizers with organic alternatives can influence CH4 and N2O emissions in rice fields. However, it remains unclear how the simultaneous application of both methods will affect the CH4 and N2O emissions in rice fields. Therefore, two irrigation methods (F: flooded irrigation; C: controlled irrigation) and three fertilization modes (A: full chemical fertilizer; B: bio-organic fertilizer replacing 15% chemical nitrogen fertilizer; C: bio-organic fertilizer replacing 30% chemical nitrogen fertilizer) were set up through field experiments to explore the effect of greenhouse gas emission reduction in rice fields by combining controlled irrigation and bio-organic fertilizers. Substituting some chemical fertilizers with bio-organic fertilizers can lower the peak CH4 and N2O fluxes in rice fields, leading to a decrease in the cumulative CH4 and N2O emissions by 11.9 similar to 29.7% and 10.8 similar to 57.3%, respectively. The reductions led to a considerable decrease in the global warming potential (GWP) and the greenhouse gas emission intensity (GHGI) by 16.1 similar to 48.1% and 16.3 similar to 48.1%, respectively. Controlled irrigation significantly reduced CH4 emissions by 55.2 similar to 69.4% compared with flooded irrigation in rice fields. However, it also increased N2O emissions by 47.5 similar to 207.9%, considerably reducing their GWPs by 11.8 similar to 45.5%. Neither bio-organic fertilizer substitution nor controlled irrigation significantly affected rice yield. Replacing 15% of chemical nitrogen fertilizers with bio-organic fertilizers in controlled irrigation rice fields can minimize rice GWP and GHGI. The study's results are of significant importance for enhancing the regulation of greenhouse gases in farmland and achieving sustainable agriculture through cleaner production.","2024-03","2025-08-27 10:53:05","2025-08-27 10:53:39","2024-04-04","","","3","14","","Agron.-basel","","","","","","","","en","","","","WOS:001191959500001","","","8 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2VL95VUD","journalArticle","2024","Wang, Jiang; Han, Genlan; Duan, Yanyan; Han, Ruihua; Shen, Xiao; Wang, Chenyang; Zhao, Lijie; Nie, Mengen; Du, Huiling; Yuan, Xiangyang; Dong, Shuqi","Effects of different organic fertilizer substitutions for chemical nitrogen fertilizer on soil fertility and nitrogen use efficiency of foxtail millet","Agronomy-basel","","2073-4395","10.3390/agronomy14040866","","Conventional fertilizer management can destroy the structure of soil. Replacing chemical fertilizers with organic fertilizers can improve soil quality and nitrogen use efficiency. We aimed to study the effects of organic fertilizer substitutions for chemical nitrogen fertilizer on soil fertility and nitrogen use efficiency in order to clarify the effectiveness of the available nutrient management measures in improving soil quality and increasing foxtail millet yield. A field experiment was carried out over two consecutive years, and a total of six treatments were set up: no fertilizer (CK), chemical nitrogen fertilizer alone (N), the substitution of 25% of chemical nitrogen fertilizer with bio-organic fertilizer (N25A1), the substitution of 25% of chemical nitrogen fertilizer with fermented mealworm manure (N25B1), the substitution of 50% of chemical nitrogen fertilizer with bio-organic fertilizer (N50A2), and the substitution of 50% of chemical nitrogen fertilizer with fermented mealworm manure (N50B2). The results of this study show the following: (1) Compared with chemical nitrogen fertilizer, the substitution of organic fertilizer for nitrogen fertilizer reduced the bulk density and solid phase of the soil, and it increased the total porosity, water content, liquid phase, and gas phase of the soil. (2) Compared with nitrogen fertilizer, the use of an organic fertilizer increased the contents of nitrate nitrogen, ammonium nitrogen, and total nitrogen in the soil by 13.59 similar to 52.56%, 4.47 similar to 18.27%, and 4.40 similar to 12.09%, respectively. The content of alkaline nitrogen increased by 1.70 similar to 32.37%, and the contents of soil available potassium, available phosphorus, and organic matter also increased. (3) The activities of sucrase, urease, glutaminase, and asparaginase were improved by replacing chemical nitrogen fertilizer with organic fertilizer. The N25 treatments performed better than the N50 treatments, and fermented mealworm manure performed better than biological organic fertilizer. (4) A moderate application of organic fertilizer (N25) can increase the grain yield, ear weight, grain weight, and 1000-grain weight of foxtail millet, whereas excessive application of organic fertilizer (N50) can reduce foxtail millet yield. (5) Replacing chemical nitrogen fertilizer with organic fertilizer can improve the agronomic use efficiency, physiological efficiency, biased productivity, harvest index, and apparent use efficiency of nitrogen fertilizer. In this study, the substitution of 25% of chemical nitrogen fertilizer with fermented mealworm manure was the best combination for restoring crop productivity and soil quality.","2024-04","2025-08-27 10:53:05","2025-08-27 10:53:18","2024-05-12","","","4","14","","Agron.-basel","","","","","","","","en","","","","WOS:001211256800001","","","8 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DWFMHP8E","journalArticle","2016","Padbhushan, Rajeev; Das, Anupam; Rakshit, Rajiv; Sharma, Rajendra Prasad; Kohli, Anshuman; Kumar, Rajesh","Long-term organic amendment application improves influence on soil aggregation, aggregate associated carbon and carbon pools under scented rice-potato-onion cropping system after the 9th crop cycle","Communications in Soil Science and Plant Analysis","","0010-3624","10.1080/00103624.2016.1254785","","A field experiment was conducted to investigate the influence of long-term application of organic manures on aggregate stability, associated carbon concentrations and carbon pools as an important soil-quality parameter under a scented rice-potato-onion cropping system in silt-loam textured soil in Eastern Bihar, India (subtropical climatic condition). Five treatments were used: 1) nitrogen, phosphorus and potassium (NPK) - 100% recommended dose of NPK; 2) NPK+FYM (farmyard manure) - 50% NPK+50% N as FYM; 3) FYM+VC (vermicompost)+ NC (neem cake) - different organic sources each equivalent to 1/3 of the recommended N (FYM +VC +NC); 4) FYM+VC+NC+PSB (phosphate-solubilizing bacteria - different organic sources each equivalent to 1/3 of the recommended N (FYM +VC+NC)+biofertilizers containing N and P carriers (PSB) and 5) FYM+BFN +BM+PSB - 50% N as FYM +biofertilizer for N +Bone meal to substitute P requirement of crops +PSB. The aggregate size distribution (> 250 mu m) at different soil depths is higher in treatment FYM+VC+NC+PSB and is at par with FYM+VC+NC, followed by FYM+BFN+BM+PSB and NPK+FYM, and the lowest in treatment receiving 100% NPK. The mean carbon concentration in each soil fraction was higher in soil depth 0-10 cm, followed by 10-20 cm and 20-30 cm. The trend of mean weight diameter (MWD) in different treatments was FYM+VC +NC+PSB >= FYM+VC+NC > NPK+FYM > FYM+BFN+BM+PSB > NPK. The trend of carbon concentrations in different treatments was FYM+VC+NC+PSB >= FYM+VC +NC > FYM+BFN+BM+PSB >= NPK+FYM > NPK. Non-labile pool of carbon forms the major portion (60.14%) of the total soil organic carbon (SOC) irrespective of all depths. Bulk density (BD) has a significant role in stabilizing soil aggregates as well as increasing the SOC content in soil. SOC was negatively correlated with BD (r = -0.870, p = 0.05), MWD (r = -0.911, p = 0.01) and geometric mean diameter (GMD) (r = -0.958, p = 0.05) irrespective of depth. This study took further steps toward understanding the enhancing of aggregate stability on organic manures addition for soil quality improvement.","2016","2025-08-27 10:53:05","2025-08-27 10:53:19","2017-01-18","2445-2457","","21","47","","Commun. Soil Sci. Plant Anal.","","","","","","","","en","","","","WOS:000390665700009","","","26 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TN5PTQ59","journalArticle","2022","Ning, Linyirui; Xu, Xinpeng; Zhang, Yitao; Zhao, Shicheng; Qiu, Shaojun; Ding, Wencheng; Zou, Guoyuan; He, Ping","Effects of chicken manure substitution for mineral nitrogen fertilizer on crop yield and soil fertility in a reduced nitrogen input regime of north-central china","Frontiers in Plant Science","","1664-462X","10.3389/fpls.2022.1050179","","Organic manure has been proposed to substitute part of the chemical fertilizers. However, past research was usually conducted in regimes with excessive nitrogen (N) fertilization, which was not conducive to the current national goal of green and sustainable development. Therefore, exploring the potential of organic fertilizer substitution for mineral N fertilizer under regimes with reduced N inputs is important to further utilize organic fertilizer resources and establish sustainable nutrient management recommendations in the winter wheat (Triticum aestivum L.) - summer maize (Zea mays L.) rotation system in North-central China. In this study, a 4-year field experiment was conducted to investigate the effects of different chicken manure substitution ratios on crop yield, N recovery efficiency (REN), soil N and soil organic matter contents, to clarify the optimal organic substitution ratio of N fertilizer under reduced N application (from 540 kg N ha(-1) year(-1) to 400 kg N ha(-1) year(-1)). Six substitution ratios were assessed: 0%, 20%, 40%, 60%, 80% and 100% under 200 kg N ha(-1) per crop season, respectively, plus a control with no N application from chemical fertilizer or chicken manure. Results showed that the highest yield was achieved under the 20% substitution ratio treatment, with 1.1% and 2.3% higher yield than chemical N alone in wheat season and maize seasons, respectively. At the chicken manure substitution ratios of 20% in wheat season and 20%-40% in maize season, the highest REN reached to 31.2% and 26.1%, respectively. Chicken manure application reduced soil residual inorganic N with increasing substitution ratio. All organic substitution treatments increased soil organic matter and total N content. Implementing 20% organic substitution in wheat season and 20%-40% in maize season under the reduced N application regime in the North-central China is therefore recommended in order to achieve high crop yields and REN, improve soil fertility and enhance livestock manure resource utilization.","2022-12-15","2025-08-27 10:53:05","2025-08-27 10:53:22","2023-01-12","","","","13","","Front. Plant Sci.","","","","","","","","en","","","","WOS:000904787700001","","","17 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
